,Date,Sum Duration,Sum Calories
0,2021-01-12,46.010635165373486,171.060849586462
1,2021-01-13,51.53283601601918,319.1556442263452
2,2021-01-14,95.02044115066528,744.1664445671936
3,2021-01-15,47.38056428432465,499.3961601771487
4,2021-01-16,64.49510071674982,334.3948850056998
5,2021-01-17,60.24356971780459,461.44340860918516
6,2021-01-18,50.08042815725008,590.2628621055824
7,2021-01-19,102.5996843993664,593.0629944614873
8,2021-01-20,35.83383168180783,229.0224540115572
9,2021-01-21,45.632414535681406,610.1884550834219
10,2021-01-23,50.24205871621768,290.6856087405701
11,2021-01-24,32.3401313841343,127.5599479411117
12,2021-01-25,49.76076963345211,583.7549044633977
13,2021-01-27,32.80074881712596,526.2680304587013
14,2021-01-28,42.02568480173747,215.84146234072634
15,2021-01-29,77.1439025481542,350.0743808003389
16,2021-01-30,58.13654406666755,340.2139203900045
17,2021-01-31,45.41553204854329,408.1302914218842
18,2021-02-01,12.05198863347371,88.60033576877296
19,2021-02-02,65.55989588300388,326.044189280836
20,2021-02-03,22.81308084925016,284.5315220704395
21,2021-02-04,68.5169310172399,404.9028119306192
22,2021-02-05,44.12573336164157,236.39818576390297
23,2021-02-07,54.54869629939397,301.5019014601671
24,2021-02-08,126.94682616392772,834.2924251990092
25,2021-02-09,121.33765321572622,1120.3617456493807
26,2021-02-10,20.15070267120997,109.1797313626955
27,2021-02-11,67.12205844918887,420.4514334184673
28,2021-02-12,87.91014033357303,399.98364971549597
29,2021-02-17,141.67076006531715,1187.2591800842445
30,2021-02-18,73.54037423729898,739.2878546726336
31,2021-02-19,69.07460278471311,702.3306861578449
32,2021-02-21,74.95458040833473,804.5038390913064
33,2021-02-22,94.95647389888762,707.1047588322294
34,2021-02-23,60.54441690444946,307.3887776515208
35,2021-02-24,25.17344261606534,109.9740000000002
36,2021-02-25,105.53437293171883,1014.4166959841123
37,2021-02-27,188.32759118676185,897.5597113587977
38,2021-02-28,133.06817843914033,613.5628594558202
39,2021-03-01,46.17302178343137,150.6971885048148
40,2021-03-02,80.99660352865855,379.7752688061181
41,2021-03-03,18.40958842039108,69.4883207236427
42,2021-03-04,177.31380861997604,977.7153344436713
43,2021-03-08,25.767689134677248,152.55934928542317
44,2021-03-09,23.80465314984322,106.9686855646764
45,2021-03-10,51.604405417044944,299.40710705538504
46,2021-03-11,52.78726213773092,267.721107116046
47,2021-03-14,87.79258033831914,484.0460843703387
48,2021-03-15,64.07867543299993,341.7223574658481
49,2021-03-16,11.85482676625252,59.25575229859729
50,2021-03-17,94.29035511612892,553.2520039003755
51,2021-03-18,99.17165049910547,1011.4040162527242
52,2021-03-19,59.741390285889295,306.6793583418189
53,2021-03-20,46.91020848353704,270.38213834666885
54,2021-03-21,53.6597815155983,497.14792587105006
55,2021-03-22,164.7799073179563,1225.7902969017723
